Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,PartNumber,Manufacturer,Remarks,Config,DNP
1,Unpolarized capacitor,C,C1 C2 C10 C11 C12 C25 C31 C32 C39,100n,C_0805_2012,9,,CC0805KRX7R9BB104,Yageo,,,
2,Unpolarized capacitor,C,C3 C4 C9 C17 C18 C27 C34,10n,C_0805_2012,7,,CC0805KRX7R0BB103,Yageo,"100V, X7R",,
3,Polarised capacitor,CP,C6,180u,CP_Radial_D8.0mm_P3.50mm,1,,EEU-FR1V181,Panasonic,35V,,
4,Unpolarized capacitor,C,C13 C14,1u,C_0805_2012,2,,CC0805KKX7R9BB105,Yageo,"50V, X7R",,
5,Unpolarized capacitor,C,C7,330p,C_0805_2012,1,,885342007002,Wurth Electronics,"50V, C0G (NP0)",,
6,Unpolarized capacitor,C,C5 C15 C22 C33,4.7u,C_0805_2012,4,,885012107018,Wurth Electronics,"25V, X5R",,
7,Polarised capacitor,CP,C8,470u,CP_Radial_D8.0mm_P3.50mm,1,,EEUFR1A471,Panasonic,10V,,
8,Diode zener,D_Zener,D1 D8,12V,D_SOT-23_ANK,2,,SZBZX84C12LT3G,ON Semiconductor,Alternative: Diodes Inc. BZX84C12-7-F,,
9,Diode,D,D7,1N4148,D_SOD-123,1,,1N4148W-7-F,Diodes Inc.,,,
10,Diode Schottky,D_Schottky,D2 D9,SS14FL,D_SOD-123F,2,,SS14FL,On Semiconductor,,,
11,"RJ connector, 6P6C (6 positions 6 connected), RJ12/RJ18/RJ25",6P6C,J7,6P6C,RJ25_6P6C_TabUp,1,,615006138421,Wurth Electronics,Alternative: Pulse E5566-Q0LK22-L,,
12,,Screw_Terminal_1x02,J1 J2 J3,"MKDS 5/ 2-9,5",Phoenix_Contact_MKDS_5-2-952,3,,1714971,Phoenix Contact,,,
13,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,J6,PWR_12V,JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical,1,~,B2B-XH-A (LF)(SN),JST,,,
14,,ST_Nucleo_SWD_5p,J8,ST_Nucleo_SWD_5p,PinHeader_1x05_P2.54mm_Vertical,1,,,any,"1x5 pin header, pitch 2.54 mm",,
15,,UEXT,J4,UEXT,Box_Header_2x05x2.54mm_Straight,1,,,any,"2x5 pin box header, pitch 2.54 mm",,
16,USB Type A connector,USB_A,J5,USB_A,USB_A_Wuerth_61400416021_Horizontal,1, ~,61400416021,Wurth Electronics,,,
17,Inductor,L,L3,150uH,L_Radial_D12.0mm_P5.00mm_Fastron_11P,1,,RLB0914-151KL,Bourns,,,
18,,D_LED,LED4 LED5,green,LED_D3.0mm,2,,LTL-4231,Lite-On,Green LED 3mm,,
19,,D_LED,LED1 LED2 LED3,yellow,LED_D3.0mm,3,,LTL-1CHY,Lite-On,Yellow LED 3mm,,
20,Transistor N-MOSFET (general),Q_NMOS,Q1 Q2 Q3,PSMN7R5-60YLX,5X6_MOSFET,3,~,PSMN7R5-60YLX,Nexperia,,,
21,Resistor,R,R36,0.33,R_1206_3216,1,,RL1206FR-070R33L,Yageo,,,
22,Resistor,R,R32,100R,R_0805_2012,1,,RC0805FR-07100RL,Yageo,,,
23,Resistor,R,R11 R15 R25 R37 R42 R46 R48 R49 R51,120k,R_0805_2012,9,,RC0805FR-07120KL,Yageo,,,
24,Resistor,R,R26 R27 R29 R31 R39 R40,12k,R_0805_2012,6,,RC0805FR-0712KL,Yageo,,,
25,Resistor,R,R1 R4 R5 R7 R9 R12 R13 R14 R18 R20 R22 R30 R45 R47,2.2k,R_0805_2012,14,,RC0805FR-072K2L,Yageo,,,
26,Resistor,R,R6 R17,2m,R_Bourns_CRE2512,2,,CRE2512-FZ-R002E-3,Bourns,,,
27,Resistor,R,R2 R28,39k,R_0805_2012,2,,RC0805FR-0739KL,Yageo,,,
28,Resistor,R,R8 R33 R34 R43 R44,470,R_0805_2012,5,,RC0805FR-07470RL,Yageo,,,
